userId	movieId	rating	review
170827209	14691	4.5	wasnt   that   keen   the   first   time   i   saw   it ,    then   i   really   liked   it .
170827209	11077	5.0	really   funny ,    i   enjoyed   it ,    and   i   always   watch   it   over   and   over
170827209	2782	5.0	definately   an   award   winning   film .    it   made   me   cry !
170827209	8989	4.0	i   love   this   film    -    so   cute   and   romantic
170827209	1905	5.0	really   really   really   lyk   it .       iluv   johnny   depp   and   orlando   bloom .       i   lyk   this   kind   of   film   and   i   cant   wait   for   the   second   and   third   to   come   out !
170827209	3938	4.5	it   was   really   gd ,    and   i   lyked   the   new   characters .    but .  .  .  .  .  .  .    it   wasn ['] t   as   gd   as   the   first
170827209	4472	4.5	aaaaaaaaaaaaaaaaaaaaaaaawwwwwwwwwww   and   hugh   grant
170827209	16969	5.0	fantastic
170827209	3320	5.0	brilliant .    i   lyk   hugh   hrant   ne   way .       the   music   was   gr8 ,    by   badly   drawn   boy .       ded   funny   and   i   watch   it   all   the   time .
170827209	17479	5.0	omg    !  !    it   was   the   first   film   that   i   ever   watched   and   got   really   scared   by .
170827209	6235	3.5	i   didnt   think   that   it   was   as   gd   as   people   say .       but   it   was   ncie   and   romantic
170827209	2457	5.0	chad   michael   murray ['] s   in   it ,    course   its   gd !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  .
170827209	3962	4.5	really   cute   and   funny
170827209	2463	4.0	really   gd   and   funny ,    but   not   excellent
170827209	7664	5.0	another   brilliant   action   film   that   i   cried   in .
170827209	16879	4.0	now   this   really   makes   me   cry ,    a   true   story   which   has   turned   into   the   worlds   best   love   story
170827209	11337	4.5	hilarious ,
170827209	7032	5.0	very   funny   and   entertaining ,    very   light   hearted   and   not   too   heavy   going
170827209	5239	4.0	very   gd ,    adam   sandler   is   a   brilliant   actor ,    but   not   his   best   film
170827209	3860	5.0	hilarious
170827209	758	4.5	really   gd ,    but   i   cant   keep   watchin   it   cus   i   get   bored
170827209	5991	4.5	i   think   that   bruce   willis   is   and   ace   actor    ( i   dont   hav   a   crush   on   him )  ,    so   wateva   he   is   in   is   a   gd   film   and   this   was   fantastic ,    but   just   needed   a   bit   more   to   it
170827209	12471	4.0	gr8 ,    liked   it   but   it   wasnt   fantastic
170827209	3579	4.0	wicked    -    i   lovd   this   and   watch   it   all   the   time   wit   my   brother
784498412	2985	3.0	this   movie   was   funny
784498412	3463	4.0	heath   ledger   is   so   hot .       its   a   funny   movie   too .
784498412	2782	4.0	this   movie   was   intense   and   mel   gibson   is   a   great   actor   and   director
784498412	1905	5.0	i   laughed   constantly .       johnny   depp   and   orlando   bloom   are   totally   hot !
784498412	8989	3.0	i   want   to   do   ballet   and   even   learn   a   little   hip - hop
784498412	3938	2.0	it   was   ok .       i   liked   the   first   one   better
784498412	14103	5.0	this   and   a   walk   to   remember   are   my   all   time   favorite   love / chick   flick   movies   of   all   time   and   i   want   something   like   this   to   happen   to   me   someday    ( ryan   gosling   is   so   hot )
784498412	10928	3.5	i   love   jim   carry
784498412	17479	4.0	i   love   scary   movies
784498412	2457	4.0	this   movie   is   cute   and   i   am   like   in   love   with   chad
784498412	3962	3.0	its   a   cute   movie
784498412	7664	4.5	i   love   this   movie !    russel   crowe    ( i   dont   know   if   thats   how   you   spell   his   name )    is   so   hot
784498412	16879	4.0	i   loved   this   movie   but   it   was   a   little   risque   if   you   know   what   i   mean
784498412	5239	3.5	adam   sandler   is   so   funny
784498412	12471	1.0	it   had   a   lot   of   swearing   in   it   but   had   an   over   all   pretty   good   message
784498412	1962	4.0	this   was   a   cute   movie
548006221	2985	3.0	just   plain   fun .  .  . and   we   get   to   see   a   young   bret   favre !  !  !
548006221	14691	4.0	keanu   reeves   finally   gets   to   change   his   image .  .  . the   rest   of   the   series   stunk   though .
548006221	11077	0.5	horrible !       it   was   too   outrageous   and   outlandish !
548006221	15205	2.0	just   another    " disaster   movie "    but   at   least   jake   gyllenhall   was   in   it !
548006221	2782	3.5	still   great   to   watch   after   all   these   years .       the   story ,    the   battles .  .  . all   was   captured   well .
548006221	15107	2.5	it ['] s   okay .       guess   i   really   prefer   the   original
548006221	8989	1.0	typical   teen   movie   about   proving   yourself .
548006221	7521	0.5	i   want   my    $  $  $    back !
548006221	10928	2.0	goofy   fun
548006221	17479	1.5	kinda   dumb   but   did   get   me   freaked   a   little   bit
548006221	6235	2.5	the   twist   at   the   end   really   pulls   at   your   heartstrings   but   mandy   moore   seems   to   keep   playing   the   same   kind   of   character   over   and   over
548006221	13610	3.5	great   set   up   to   the   series !
548006221	7664	2.5	an   austrailian   spanard ?       russel   crowe ['] s    " spanish "    accent   is   way   off .  . but   joaquin   phoenix ['] s   performance   was   creepy   and   great   at   the   same   time !       movie   made   me   motion   sick   with   all   the   spinning   camera   moves
548006221	5571	4.0	now   if   he ['] d   just   left   it   at   this   movie .  .  .
548006221	16879	3.5	the   sinking   ship   effects   are   really   stunning .  .  . the   story   still   gets   a   tear   or   two   out   of   me   even   after   10   years .  .  .
548006221	6287	2.0	time   has   not   been   good   to   this   one .       at   first   it   would   have   rated   higher ,    but   now .  .  . it ['] s   actually   kinda   boring
548006221	11337	1.5	mind   vegetation / slightly   predictable
548006221	7032	3.0	not   as   good   as   the   first   one   but   not   quite   as   gross   as   the   2nd
548006221	5239	2.0	cute   movie .  .  . funny   but   predictable .
548006221	3860	2.5	cute   film .  .  . ok   maybe   predicatable   but   one   of   the   better   ones   of   those   types   of   films
781040037	3463	3.0	this   movie   is   where   i   first   learned   of   heath   ledger .    julia   stiles   was   awesome   as   a   cynical   bitch .
781040037	14691	0.5	ugh   i   tried   to   watch   this   with   a   group   of   people    &    a   guy   tried   to   make   out   with   me .    i   associate   this   movie   with   that   experience .    it   wasn ['] t   good .
781040037	3938	3.5	i   love   the   humor   in   the   shrek   movies .
781040037	14103	5.0	oh   my   gosh   this   is   my   favorite .    i   love   ryan   gosling    &    rachel   mcadams .    the   book   was   good .    this   movie   makes   me   happy / sad .
781040037	10928	3.0	i   quote   this   movie   way   too   much .
781040037	7521	2.0	all   the   sequels   of   this   blend   together    &    i   couldn ['] t   tell   you   what   happened   in   this   one .
781040037	17479	3.0	it   didn ['] t   scare   me ,    but   people   in   the   theatre   screamed   like   girls .
781040037	13610	3.0	it   was   fun !
781040037	3962	4.0	fun ,    colorful ,    funny .
781040037	2457	1.5	hillary   stole   lindsay ['] s   man .  .  . i   don ['] t   approve .    the   funny   lady   from   legally   blonde   was   in   it .    she ['] s   always   good .
781040037	17324	4.0	i   love   will   smith    &    kevin   james   dancing   is   just   funny .
781040037	2463	4.0	very   cool .
781040037	11337	3.0	in   high   school ,    i   thought   it   was   funny ,    now ,    not   so   much .
781040037	758	4.5	i   didn ['] t   watch   it   till   a   year   after   it   came   out   bc   i   thought   it ['] d   be   dumb .    i   was   so   wrong .    it   was   hilarious .    i   love   rachel   mcadams    &    this   was   lindsay   before   she   was   on   drugs .
781040037	1962	3.0	cute ,    but   not   drew ['] s   best .
781040037	11077	4.0	these   movies   crack   me   up .
781040037	15205	0.5	this .  .  . sucked .    predictable .    bad   for   jake .
781040037	2782	4.5	i   love   this   movie ,    the   love   story ,    the   violence ,    and   mel .
781040037	8989	4.0	i   wish   julia   would ['] ve   been   more   bitchy ,    but   she   did   well   with   the   character .    my   friend   bought   the   soundtrack    &    we   were   obsessed   with   it .
781040037	5571	5.0	i   love   the   rocky   movies .  .  . well   6   kinda   sucked .
781040037	16879	3.0	if   i   watch   this   during    ['] that   time   of   the   month [']    i   cry   like   a   baby .
781040037	6287	4.0	who   didn ['] t   want   to   be   a   hooker   after   watching   this   movie ?
781040037	7032	2.5	i   didn ['] t   enjoy   beyonce   in   this   movie .
781040037	3860	3.0	the   part   with   steve   carrell   always   gets   me .
781040037	5991	4.0	surprisingly   really   good .    i   love   tarantino .
519405200	1703	4.0	this   movie   is   so   cute    ,    i   almost   cried
